SpeciesName,envpos
"Funiculina quadrangularis",Epibenthic
"Sagartiogeton undatus",Epibenthic
"Chaetopterus variopedatus",Epifaunal
"Edwardsia ivelli",Infaunal
"Electra pilosa",Epifaunal
"Electra pilosa",Epilithic
"Electra pilosa",Epiphytic
"Electra pilosa",Epizoic
"Electra pilosa",Epibenthic
"Eunicella verrucosa",Epibenthic
"Eunicella verrucosa",Epifaunal
"Eurydice pulchra",Infaunal
"Tellina fabula",Infaunal
"Flustra foliacea",Epibenthic
"Flustra foliacea",Epifaunal
"Flustra foliacea",Epilithic
"Abra alba",Infaunal
"Alcyonium digitatum",Epifaunal
"Alcyonium digitatum",Epilithic
"Amphianthus dohrnii",Epizoic
"Amphiura chiajei",Infaunal
"Amphiura filiformis",Infaunal
"Antedon bifida",Epibenthic
"Antedon bifida",Epifaunal
"Antedon bifida",Epilithic
"Aphelochaeta marioni",Infaunal
"Aphrodita aculeata",Infaunal
"Arctica islandica",Infaunal
"Arenicola marina",Infaunal
"Armandia cirrhosa",Infaunal
"Ascidiella scabra",Epibenthic
"Ascidiella scabra",Epifaunal
"Ascidiella scabra",Epilithic
"Ascidiella scabra",Epifloral
"Ascidiella scabra",Epiphytic
"Ascidiella scabra",Epizoic
"Asterias rubens",Epibenthic
"Atrina fragilis",Infaunal
"Axinella dissimilis",Epibenthic
"Axinella dissimilis",Epilithic
"Balanus crenatus",Epifaunal
"Balanus crenatus",Epilithic
"Bathyporeia pelagica",Infaunal
"Botryllus schlosseri",Epifaunal
"Botryllus schlosseri",Epilithic
"Brissopsis lyrifera",Infaunal
"Bugula turbinata",Epibenthic
"Bugula turbinata",Epifaunal
"Bugula turbinata",Epilithic
"Callianassa subterranea",Infaunal
"Cancer pagurus",Epibenthic
"Capitella capitata",Infaunal
"Carcinus maenas",Epibenthic
"Cerastoderma edule",Infaunal
"Chthamalus montagui",Epifaunal
"Chthamalus montagui",Epilithic
"Chthamalus stellatus",Epifaunal
"Chthamalus stellatus",Epilithic
"Cirratulus cirratus",Infaunal
"Clavelina lepadiformis",Epibenthic
"Clavelina lepadiformis",Epifaunal
"Clavelina lepadiformis",Epilithic
"Thieliana navis",Epifaunal
"Conopeum reticulum",Epifaunal
"Corbula gibba",Infaunal
"Cordylophora caspia",Epibenthic
"Cordylophora caspia",Epifaunal
"Cordylophora caspia",Epilithic
"Cordylophora caspia",Epiphytic
"Cordylophora caspia",Epizoic
"Corophium volutator",Infaunal
"Crepidula fornicata",Epibenthic
"Crepidula fornicata",Epifaunal
"Ciona intestinalis",Epifaunal
"Conopeum reticulum",Epibenthic
"Crepidula fornicata",Epizoic
"Echinocardium cordatum",Infaunal
"Funiculina quadrangularis",Epifaunal
"Gammarus insensibilis",Epifaunal
"Gammarus salinus",Epibenthic
"Halichondria bowerbanki",Epifaunal
"Halichondria bowerbanki",Epilithic
"Halichondria panicea",Epiphytic
"Halichondria panicea",Epilithic
"Hediste diversicolor",Infaunal
"Helcion pellucidum",Epifaunal
"Henricia oculata",Epifaunal
"Hyale prevostii",Epifaunal
"Hyale prevostii",Epifloral
"Hyale prevostii",Epibenthic
"Echinus esculentus",Epifaunal
"Jassa falcata",Epibenthic
"Jassa falcata",Epiphytic
"Lacuna vincta",Epifaunal
"Lanice conchilega",Infaunal
"Leptopsammia pruvoti",Epifaunal
"Liocarcinus depurator",Demersal
"Lithothamnion corallioides",Epilithic
"Lithothamnion glaciale",Epifloral
"Lithothamnion glaciale",Epilithic
"Littorina littorea",Epifaunal
"Macoma balthica",Infaunal
"Magelona mirabilis",Infaunal
"Metridium senile",Epilithic
"Modiolus modiolus",Epifaunal
"Modiolus modiolus",Infaunal
"Modiolus modiolus",Epibenthic
"Modiolus modiolus",Epilithic
"Molgula manhattensis",Epibenthic
"Morchellium argus",Epifaunal
"Mya arenaria",Infaunal
"Mytilus edulis",Epilithic
"Nematostella vectensis",Epifaunal
"Nematostella vectensis",Infaunal
"Nemertesia ramosa",Epifaunal
"Neocrania anomala",Epifaunal
"Neomysis integer",Epibenthic
"Neomysis integer",Pelagic
"Neopentadactyla mixta",Infaunal
"Nephrops norvegicus",Demersal
"Nephrops norvegicus",Infaunal
"Nephtys hombergii",Infaunal
"Nucella lapillus",Epifaunal
"Nucula nitidosa",Infaunal
"Obelia longissima",Epibenthic
"Obelia longissima",Epifaunal
"Obelia longissima",Epilithic
"Obelia longissima",Epiphytic
"Obelia longissima",Epizoic
"Ophiothrix fragilis",Epibenthic
"Osilinus lineatus",Epilithic
"Osilinus lineatus",Epifaunal
"Ostrea edulis",Epifaunal
"Owenia fusiformis",Infaunal
"Palinurus elephas",Epifaunal
"Palinurus elephas",Demersal
"Paludinella litorina",Epifaunal
"Paludinella litorina",Interstitial
"Patella ulyssiponensis",Epibenthic
"Pecten maximus",Epibenthic
"Pentapora fascialis",Epibenthic
"Pentapora fascialis",Epilithic
"Philine aperta",Infaunal
"Polydora ciliata",Epibenthic
"Polydora ciliata",Epilithic
"Polydora ciliata",Epizoic
"Pomatoceros triqueter",Epibenthic
"Pomatoceros triqueter",Epifaunal
"Pomatoceros triqueter",Epilithic
"Protanthea simplex",Epifaunal
"Psammechinus miliaris",Epifaunal
"Sabellaria alveolata",Epifaunal
"Sabellaria spinulosa",Epifaunal
"Semibalanus balanoides",Epifaunal
"Serpula vermicularis",Epifaunal
"Serpula vermicularis",Epibenthic
"Serpula vermicularis",Epilithic
"Pecten maximus",Epifaunal
"Pholas dactylus",Lithotomous
"Spio filicornis",Infaunal
"Spiophanes bombyx",Infaunal
"Talitrus saltator",Epibenthic
"Talitrus saltator",Infaunal
"Tenellia adspersa",Epifaunal
"Thyasira gouldi",Infaunal
"Truncatella subcylindrica",Epifaunal
"Truncatella subcylindrica",Interstitial
"Umbonula littoralis",Epifaunal
"Urticina felina",Epibenthic
"Venerupis senegalensis",Infaunal
"Virgularia mirabilis",Epifaunal
"Virgularia mirabilis",Infaunal
"Spisula solida",Infaunal
"Crangon crangon",Epibenthic
"Pomatoschistus microps",Demersal
"Fucus serratus",Epifloral
"Leptopsammia pruvoti",Epilithic
"Caecum armoricum",Interstitial
"Delesseria sanguinea",Epifloral
"Dipturus batis",Demersal
"Ensis ensis",Infaunal
"Himanthalia elongata",Epifloral
"Himanthalia elongata",Epilithic
"Laminaria digitata",Epilithic
"Laminaria digitata",Epifloral
"Palmaria palmata",Epilithic
"Palmaria palmata",Epiphytic
"Patella vulgata",Epifaunal
"Patella vulgata",Epilithic
"Pecten maximus",Demersal
"Pelvetia canaliculata",Epifloral
"Phymatolithon calcareum",Epifloral
"Pisidia longicornis",Epifaunal
"Pomatoschistus microps",Epibenthic
"Pomatoschistus minutus",Demersal
"Pomatoschistus minutus",Epibenthic
"Rhodothamniella floridula",Epibenthic
"Rhodothamniella floridula",Epilithic
"Rhodothamniella floridula",Epiphytic
"Ulva intestinalis",Epifloral
"Ulva intestinalis",Epilithic
"Ulva intestinalis",Epiphytic
"Victorella pavida",Epifaunal
"Victorella pavida",Epilithic
"Victorella pavida",Epiphytic
"Zostera marina",Epifloral
"Furcellaria lumbricalis",Epilithic
"Halidrys siliquosa",Epilithic
"Laminaria hyperborea",Epilithic
"Laminaria hyperborea",Epifloral
"Ulva intestinalis",Epibenthic
"Homarus gammarus",Demersal
"Halidrys siliquosa",Epifloral
"Hippocampus hippocampus",Demersal
"Hydrobia ulvae",Epifaunal
"Saccharina latissima",Epilithic
"Saccharina latissima",Epifloral
"Saccharina latissima","See additional information"
"Lithophyllum incrustans",Epilithic
"Saccorhiza polyschides",Epilithic
"Saccorhiza polyschides",Epifloral
"Musculus discors",Epilithic
"Musculus discors",Epiphytic
"Zostera marina",Infaunal
"Zostera noltii",Infaunal
"Zostera noltii",Epifloral
"Homarus gammarus",Epifaunal
"Homarus gammarus",Epibenthic
"Furcellaria lumbricalis",Pelagic
"Asterina gibbosa",Epilithic
"Asterina gibbosa",Epibenthic
"Ceramium virgatum",Epifloral
"Ceramium virgatum",Epilithic
"Asterina gibbosa",Epifaunal
"Ceramium virgatum",Epiphytic
"Nemertesia ramosa",Epibenthic
"Ceramium virgatum",Epibenthic
"Cerastoderma glaucum",Infaunal
"Chondrus crispus",Epilithic
"Cladophora rupestris",Epilithic
"Gobius cobitis",Demersal
"Gobius couchi",Demersal
"Fucus distichus",Epifloral
"Chorda filum",Epifloral
"Cladophora rupestris",Epiphytic
"Conopeum reticulum",Epilithic
"Fucus ceranoides",Epifloral
"Fucus spiralis",Epifloral
"Fucus vesiculosus",Epifloral
"Ahnfeltia plicata",Epilithic
"Alaria esculenta",Epifloral
"Alkmaria romijni",Infaunal
"Ascophyllum nodosum",Epifloral
"Corallina officinalis",Epifloral
"Actinauge richardi",Epibenthic
"Urticina felina",Epifaunal
"Alcyonidium diaphanum",Epifaunal
"Alcyonidium diaphanum",Epilithic
"Ampelisca brevicornis",Epifaunal
"Ampelisca brevicornis",Infaunal
"Ampelisca diadema",Epifaunal
"Ampelisca diadema",Epilithic
"Ampelisca spinipes",Epifaunal
"Ampelisca spinipes",Epilithic
"Ampelisca tenuicornis",Epifaunal
"Ampelisca tenuicornis",Epilithic
"Ampharete falcata",Infaunal
"Thieliana navis",Epiphytic
"Aporrhais pespelecani",Infaunal
"Astarte sulcata",Infaunal
"Bathyporeia elegans",Infaunal
"Caryophyllia smithii",Epifaunal
"Cerianthus lloydii",Infaunal
"Chaetopterus variopedatus",Infaunal
"Chaetozone setosa",Infaunal
"Thieliana navis",Epilithic
"Metridium senile",Epifaunal
"Inachus dorsettensis",Epibenthic
"Macropipus tuberculatus",Epibenthic
"Macropodia tenuirostris",Epibenthic
"Maja squinado",Epibenthic
"Mediomastus fragilis",Epibenthic
"Mysella bidentata",Infaunal
"Nemertesia antennina",Epifaunal
"Nephtys cirrosa",Infaunal
"Nucula sulcata",Infaunal
"Ophiura albida",Epibenthic
"Phaxas pellucidus",Infaunal
"Sagartiogeton undatus",Epifaunal
"Scoloplos armiger",Infaunal
"Thyasira flexuosa",Infaunal
"Dendrodoa grossularia",Epifaunal
"Distomus variolosus",Epifaunal
"Pisione spp.",Infaunal
"Harmothoe spp.",Epibenthic
"Lepidonotus spp.",Epibenthic
"Pholoe spp.",Infaunal
"Pholoe spp.",Epifaunal
"Eteone spp.",Infaunal
"Hesionura spp.",Infaunal
"Pseudomystides spp.",Infaunal
"Eulalia spp.",Epibenthic
"Eumida spp.",Infaunal
"Syllis spp.",Epibenthic
"Typosyllis spp.",Epibenthic
"Pionosyllis spp.",Epibenthic
"Exogone spp.",Epifaunal
"Lumbrineris spp.",Epifaunal
"Lumbrineris spp.",Infaunal
"Euclymene spp.",Infaunal
"Ophelia spp.",Infaunal
"Polycirrus spp.",Infaunal
"Lagis spp.",Infaunal
"Scalibragma spp.",Infaunal
"Travisia spp.",Infaunal
"Pagurus spp.",Epibenthic
"Upogebia spp.",Infaunal
"Abietinaria abietina",Epifaunal
"Abietinaria abietina",Epilithic
"Hydrallmania falcata",Epifaunal
"Hydrallmania falcata",Epilithic
"Sertularia cupressina",Epifaunal
"Sertularia cupressina",Epilithic
"Tubularia indivisa",Epifaunal
"Tubularia indivisa",Epilithic
"Pennatula phosphorea ",Epifaunal
"Pennatula phosphorea ",Infaunal
"Bolocera tuediae",Epifaunal
"Adamsia carciniopados",Epizoic
"Adamsia carciniopados",Epifaunal
"Ditrupa arietina",Infaunal
"Ditrupa arietina",Epifaunal
"Neanthes fucata",Infaunal
"Neanthes fucata",Epizoic
"Processa canaliculata",Infaunal
"Processa canaliculata",Epifaunal
"Dichelopandalus bonnieri",Epifaunal
"Dichelopandalus bonnieri",Epibenthic
"Pandalus borealis",Epifaunal
"Pandalus borealis",Epibenthic
"Crangon allmanni",Infaunal
"Crangon allmanni",Epifaunal
"Crangon allmanni",Epibenthic
"Anapagurus laevis",Epifaunal
"Anapagurus laevis",Epibenthic
"Pagurus bernhardus",Epifaunal
"Pagurus bernhardus",Epibenthic
"Pagurus prideauxi",Epifaunal
"Pagurus prideauxi",Epibenthic
"Corystes cassivelaunus",Epifaunal
"Corystes cassivelaunus",Infaunal
"Liocarcinus holsatus",Epifaunal
"Liocarcinus holsatus",Infaunal
"Necora puber",Epifaunal
"Necora puber",Epibenthic
"Aequipecten opercularis",Epifaunal
"Aequipecten opercularis",Epibenthic
"Pseudamussium septemradiatum",Epifaunal
"Pseudamussium septemradiatum",Epibenthic
"Acanthocardia echinata",Infaunal
"Turritella communis",Infaunal
"Aporrhais serresianus",Epifaunal
"Aporrhais serresianus",Infaunal
"Polinices spp.",Epifaunal
"Polinices spp.",Epibenthic
"Buccinum undatum",Epifaunal
"Buccinum undatum",Epibenthic
"Colus gracilis",Epifaunal
"Colus gracilis",Epibenthic
"Neptunea antiqua",Epifaunal
"Neptunea antiqua",Epibenthic
"Ophiura ophiura",Epifaunal
"Ophiura ophiura",Epibenthic
"Spatangus purpureus",Infaunal
"Luidia ciliaris",Epifaunal
"Luidia ciliaris",Infaunal
"Luidia sarsi",Epifaunal
"Luidia sarsi",Infaunal
"Porania pulvillus",Epifaunal
"Porania pulvillus",Epibenthic
"Crossaster papposus",Epifaunal
"Crossaster papposus",Epibenthic
"Pollachius pollachius",Demersal
"Trisopterus luscus",Demersal
"Trisopterus minutus",Demersal
"Ctenolabrus rupestris",Demersal
"Labrus bergylta",Demersal
"Labrus mixtus",Demersal
"Parablennius gattorugine",Demersal
"Callionymus lyra",Demersal
"Thorogobius ephippiatus",Demersal
"Pleuronectes platessa",Demersal
"Gastrosaccus spp.",Epibenthic
"Gastrosaccus spp.",Pelagic
"Gastrosaccus spp.",Infaunal
"Urothoe spp.",Epifaunal
"Arcopagia spp.",Infaunal
"Tellina spp.",Infaunal
"Solecurtus spp.",Infaunal
"Dosinia spp.",Infaunal
"Sphenia spp.",Infaunal
"Thracia spp.",Infaunal
"Atelecyclus spp.",Infaunal
"Pirimela spp.",Epibenthic
"Pilumnus spp.",Epibenthic
"Leptochiton spp.",Epilithic
"Glycymeris spp.",Infaunal
"Laevicardium spp.",Infaunal
"Astropecten irregularis",Epibenthic
"Echinocyamus pusillus",Infaunal
"Dysidea fragilis",Epilithic
"Leptasterias muelleri",Epifaunal
"Leptasterias muelleri",Epibenthic
"Idotea pelagica",Epifaunal
"Idotea pelagica",Epibenthic
"Idotea pelagica",Epiphytic
"Idotea pelagica",Epizoic
"Gammarus chevreuxi","Not researched"
"Hippocampus guttulatus","Not researched"
"Echinogammarus planicrurus","Not researched"
"Sargassum (Bactrophycus) muticum","Not researched"
"Littorina saxatilis","Not researched"
"Spio martinensis",Infaunal
"Malacoceros fuliginosus",Infaunal
"Pygospio elegans",Infaunal
"Polydora spp.",Epibenthic
"Polydora spp.",Epilithic
"Magelona spp.",Infaunal
"Thelepus spp.",Infaunal
"Ensis spp.",Infaunal
"Galathea spp.",Epibenthic
"Balanus spp.",Epilithic
"Macropodia spp.",Epibenthic
"Diplosoma listerianum",Epilithic
"Diplosoma listerianum",Epiphytic
