SpeciesName,Habit
"Asterina phylactica",NULL
"Amphianthus dohrnii",Attached
"Eunicella verrucosa",Attached
"Sabellaria alveolata",Tubiculous
"Henricia oculata","Free living"
"Sabellaria spinulosa",Tubiculous
"Nematostella vectensis",Attached
"Edwardsia ivelli","Burrow dwelling"
"Gammarus insensibilis","Free living"
"Palinurus elephas","Free living"
"Ostrea edulis",Attached
"Thyasira gouldi","Burrow dwelling"
"Thieliana navis",Attached
"Funiculina quadrangularis",Attached
"Tenellia adspersa","Free living"
"Armandia cirrhosa","Burrow dwelling"
"Atrina fragilis",Attached
"Paludinella litorina","Free living"
"Liocarcinus depurator","Free living"
"Cancer pagurus","Free living"
"Metridium senile",Erect
"Alcyonium digitatum",Erect
"Psammechinus miliaris","Free living"
"Asterias rubens","Free living"
"Ophiothrix fragilis","Free living"
"Alkmaria romijni","Burrow dwelling"
"Pomatoschistus microps","Free living"
"Pomatoschistus minutus","Free living"
"Truncatella subcylindrica","Free living"
"Phymatolithon calcareum","Bed forming"
"Caecum armoricum","Free living"
"Zostera marina",Attached
"Lithothamnion corallioides","Bed forming"
"Leptopsammia pruvoti",Attached
"Lacuna vincta","Free living"
"Alaria esculenta",Attached
"Hydrobia ulvae","Free living"
"Helcion pellucidum","Free living"
"Victorella pavida",Attached
"Gobius cobitis","Free living"
"Gobius couchi","Free living"
"Laminaria hyperborea",Attached
"Echinus esculentus","Free living"
"Lithothamnion glaciale","Bed forming"
"Cerastoderma glaucum","Free living"
"Neopentadactyla mixta","Burrow dwelling"
"Nemertesia ramosa",Attached
"Chthamalus montagui",Attached
"Chthamalus stellatus",Attached
"Osilinus lineatus","Free living"
"Fucus serratus",Attached
"Littorina littorea","Free living"
"Fucus vesiculosus",Attached
"Neocrania anomala",Attached
"Fucus ceranoides",Attached
"Ascophyllum nodosum",Attached
"Fucus spiralis",Attached
"Delesseria sanguinea",Attached
"Botryllus schlosseri",Attached
"Pelvetia canaliculata",Attached
"Protanthea simplex",Attached
"Umbonula littoralis",Attached
"Fucus distichus",Attached
"Himanthalia elongata",Attached
"Pisidia longicornis","Free living"
"Chorda filum",Attached
"Corallina officinalis",Attached
"Ciona intestinalis",Attached
"Saccorhiza polyschides",Attached
"Patella vulgata","Free living"
"Morchellium argus",Attached
"Saccharina latissima","See additional information"
"Semibalanus balanoides",Attached
"Axinella dissimilis",Erect
"Balanus crenatus",Attached
"Cerastoderma edule","Free living"
"Laminaria digitata",Attached
"Pentapora fascialis",Attached
"Jassa falcata",Tubiculous
"Urticina felina",Attached
"Hyale prevostii","Free living"
"Lithophyllum incrustans",Attached
"Virgularia mirabilis",Attached
"Pecten maximus","Free living"
"Amphiura filiformis","Free living"
"Arenicola marina","Burrow dwelling"
"Pholas dactylus","Burrow dwelling"
"Mya arenaria","Burrow dwelling"
"Palmaria palmata",Attached
"Halichondria panicea",Attached
"Zostera noltii",Attached
"Polydora ciliata",Tubiculous
"Philine aperta","Free living"
"Echinocardium cordatum","Burrow dwelling"
"Mytilus edulis",Attached
"Hediste diversicolor","Burrow dwelling"
"Callianassa subterranea","Burrow dwelling"
"Dipturus batis","Free living"
"Chondrus crispus",Attached
"Halidrys siliquosa",Attached
"Ulva intestinalis",Attached
"Macoma balthica","Burrow dwelling"
"Cladophora rupestris",Attached
"Ceramium virgatum",Attached
"Clavelina lepadiformis",Attached
"Carcinus maenas","Free living"
"Nucella lapillus","Free living"
"Cordylophora caspia",Attached
"Antedon bifida","Free living"
"Modiolus modiolus",Attached
"Serpula vermicularis",Tubiculous
"Arctica islandica","Burrow dwelling"
"Crepidula fornicata",Attached
"Aphelochaeta marioni","Burrow dwelling"
"Venerupis senegalensis","Burrow dwelling"
"Patella ulyssiponensis","Free living"
"Bathyporeia pelagica","Free living"
"Conopeum reticulum",Attached
"Flustra foliacea",Attached
"Furcellaria lumbricalis",Attached
"Tellina fabula","Burrow dwelling"
"Magelona mirabilis","Burrow dwelling"
"Lanice conchilega",Tubiculous
"Musculus discors",Attached
"Brissopsis lyrifera","Free living"
"Ahnfeltia plicata",Attached
"Amphiura chiajei","Free living"
"Corophium volutator","Burrow dwelling"
"Eurydice pulchra","Free living"
"Nephrops norvegicus","Free living"
"Corbula gibba","Free living"
"Neomysis integer","Free living"
"Electra pilosa",Attached
"Aphrodita aculeata","Free living"
"Spio filicornis",Tubiculous
"Gammarus salinus","Free living"
"Nucula nitidosa","Free living"
"Owenia fusiformis",Tubiculous
"Spiophanes bombyx","Burrow dwelling"
"Nephtys hombergii","Free living"
"Bugula turbinata",Attached
"Abra alba","Burrow dwelling"
"Molgula manhattensis",Attached
"Pomatoceros triqueter","See additional information"
"Cirratulus cirratus","Burrow dwelling"
"Hippocampus hippocampus","Free living"
"Talitrus saltator","Free living"
"Ascidiella scabra",Attached
"Rhodothamniella floridula",Attached
"Halichondria bowerbanki",Attached
"Capitella capitata","Burrow dwelling"
"Obelia longissima",Attached
"Spisula solida","Burrow dwelling"
"Crangon crangon","Free living"
"Ensis ensis","Burrow dwelling"
"Actinauge richardi",Attached
"Alcyonidium diaphanum",Attached
"Ampelisca brevicornis",Tubiculous
"Ampelisca diadema",Tubiculous
"Ampelisca spinipes","Free living"
"Ampelisca tenuicornis","Free living"
"Ampharete falcata",Tubiculous
"Aporrhais pespelecani","Free living"
"Astarte sulcata","Free living"
"Bathyporeia elegans","Free living"
"Caryophyllia smithii",Attached
"Cerianthus lloydii",Tubiculous
"Chaetopterus variopedatus",Tubiculous
"Chaetozone setosa","Burrow dwelling"
"Galathea dispersa","Free living"
"Hyalinoecia tubicola",Tubiculous
"Hydrallmania falcata",Erect
"Inachus dorsettensis","Free living"
"Macropipus tuberculatus","Free living"
"Macropodia tenuirostris","Free living"
"Maja squinado","Free living"
"Mediomastus fragilis",Tubiculous
"Mysella bidentata","Burrow dwelling"
"Nemertesia antennina",Attached
"Nephtys cirrosa","Burrow dwelling"
"Nucula sulcata","Free living"
"Ophiura albida","Free living"
"Phaxas pellucidus","Burrow dwelling"
"Sagartiogeton undatus",Attached
"Scaphander lignarius","Free living"
"Scoloplos armiger","Burrow dwelling"
"Thyasira flexuosa","Free living"
"Distomus variolosus",Attached
"Dendrodoa grossularia",Attached
"Leptosynapta inhaerens",Tubiculous
"Thyone fusus","Free living"
"Pseudothyone raphanus",Tubiculous
"Echinocyamus pusillus","Free living"
"Amphipholis squamata","Free living"
"Pseudocuma longicorne","Free living"
"Iphinoe trispinosa","Free living"
"Sertularia cupressina",Erect
"Leptocheirus spp.","Free living"
"Maerella tenuimana","Free living"
"Abietinaria abietina",Erect
"Tubularia indivisa",Erect
"Sagartia elegans",Attached
"Nephasoma spp.","Free living"
"Harmothoe spp.","Free living"
"Lepidonotus spp.","Free living"
"Pholoe spp.","Free living"
"Eteone spp.","Free living"
"Hesionura spp.","Free living"
"Pseudomystides spp.","Free living"
"Eulalia spp.","Free living"
"Eumida spp.","Free living"
"Glycera spp.","Free living"
"Pisione spp.","Free living"
"Drilonereis spp.",Ectoparasitic
"Protodorvillea spp.","Free living"
"Syllis spp.","Free living"
"Typosyllis spp.","Free living"
"Pionosyllis spp.","Free living"
"Exogone spp.","Free living"
"Sphaerosyllis spp.","Free living"
"Myrianida spp.","Free living"
"Lumbrineris spp.","Free living"
"Orbinia spp.","Free living"
"Paraonis spp.","Free living"
"Aonides spp.",Tubiculous
"Laonice spp.",Tubiculous
"Minuspio spp.",Tubiculous
"Prionospio spp.",Tubiculous
"Caulleriella spp.",Tubiculous
"Ciriformia spp.","Free living"
"Heteromastus spp.",Tubiculous
"Notomastus spp.","Free living"
"Macrochaeta spp.","Free living"
"Euclymene spp.",Tubiculous
"Ophelia spp.","Free living"
"Gastrosaccus spp.","Free living"
"Urothoe spp.","Free living"
"Tubificoides spp.","Free living"
"Pomatoceros spp.",Tubiculous
"Polycirrus spp.",Tubiculous
"Lagis spp.",Tubiculous
"Scalibragma spp.","Free living"
"Travisia spp.","Free living"
"Arcopagia spp.","Free living"
"Tellina spp.","Free living"
"Solecurtus spp.","Free living"
"Dosinia spp.","Free living"
"Sphenia spp.",Attached
"Thracia spp.","Free living"
"Upogebia spp.",Tubiculous
"Pagurus spp.","Free living"
"Atelecyclus spp.","Free living"
"Pirimela spp.","Free living"
"Pilumnus spp.","Free living"
"Leptochiton spp.",Attached
"Buccinum spp.","Free living"
"Glycymeris spp.","Free living"
"Aequipecten spp.","Free living"
"Laevicardium spp.","Free living"
"Ascidia spp.",Attached
"Tridonta spp.","Free living"
"Astropecten irregularis","Free living"
"Axius spp.","Burrow dwelling"
"Bodotria spp.","Free living"
"Calliostoma spp.","Free living"
"Guernea spp.","Free living"
"Didemnum spp.",Attached
"Dysidea fragilis",Attached
"Grania spp.","Free living"
"Marphysa spp.","Burrow dwelling"
"Diodora spp.","Free living"
"Cheirocratus spp.","Free living"
"Golfingia spp.","Free living"
"Glycinde spp.","Free living"
"Goniada spp.","Free living"
"Podarkeopsis spp.","Free living"
"Psamathe spp.","Free living"
"Hiatella spp.","Free living"
"Hippolyte spp.","Free living"
"Gammaropsis spp.","Free living"
"Ebalia spp.","Free living"
"Lucinoma spp.","Free living"
"Hyas spp.","Free living"
"Clymenura spp.","Free living"
"Hinia spp.","Free living"
"Schistomysis spp.","Free living"
"Nuculana spp.","Free living"
"Nymphon spp.","Free living"
"Palaemon spp.","Free living"
"Pandalus spp.","Free living"
"Pandalina spp.","Free living"
"Cirrophorous spp.","Free living"
"Pasiphaea spp.","Free living"
"Chlamys spp.",Attached
"Palliolum spp.",Attached
"Anoplodactylus spp.","Free living"
"Harpinia spp.","Free living"
"Parametaphoxus spp.","Free living"
"Gari spp.","Free living"
"Bispira spp.",Tubiculous
"Sagitta spp.","Free living"
"Sepiola spp.","Free living"
"Hydrallmania spp.",Erect
"Metopa spp.","Free living"
"Polycarpa spp.",Attached
"Styela spp.",Attached
"Eurysyllis spp.","Free living"
"Odontosyllis spp.","Free living"
"Syllides spp.","Free living"
"Chamelea spp.","Free living"
"Circomphalus spp.","Free living"
"Clausinella spp.","Free living"
"Tapes spp.","Free living"
"Timoclea spp.","Free living"
"Venus spp.","Free living"
"Amaeana spp.",Tubiculous
"Verruca spp.",Attached
"Vesicularia spp.",Attached
"Jasmineira spp.","Free living"
"Poecilochaetus spp.",Tubiculous
"Pennatula phosphorea ",Erect
"Bolocera tuediae",Attached
"Adamsia carciniopados",Attached
"Ditrupa arietina","Free living"
"Neanthes fucata",Attached
"Processa canaliculata","Free living"
"Dichelopandalus bonnieri","Free living"
"Pandalus borealis","Free living"
"Crangon allmanni","Free living"
"Anapagurus laevis","Free living"
"Pagurus bernhardus","Free living"
"Pagurus prideauxi","Free living"
"Corystes cassivelaunus","Free living"
"Liocarcinus holsatus","Free living"
"Necora puber","Free living"
"Aequipecten opercularis","Free living"
"Pseudamussium septemradiatum","Free living"
"Acanthocardia echinata","Free living"
"Turritella communis","Free living"
"Aporrhais serresianus","Free living"
"Polinices spp.","Free living"
"Buccinum undatum","Free living"
"Colus gracilis","Free living"
"Neptunea antiqua","Free living"
"Ophiura ophiura","Free living"
"Spatangus purpureus","Free living"
"Luidia ciliaris","Free living"
"Luidia sarsi","Free living"
"Porania pulvillus","Free living"
"Crossaster papposus","Free living"
"Pollachius pollachius","Free living"
"Trisopterus luscus","Free living"
"Trisopterus minutus","Free living"
"Ctenolabrus rupestris","Free living"
"Labrus bergylta","Free living"
"Labrus mixtus","Free living"
"Parablennius gattorugine","Free living"
"Callionymus lyra","Free living"
"Thorogobius ephippiatus","Free living"
"Pleuronectes platessa","Free living"
"Asterina gibbosa","Free living"
"Homarus gammarus","Free living"
"Leptasterias muelleri","Free living"
"Idotea pelagica","Free living"
"Abludomelita obtusata",NULL
"Abra nitida",NULL
"Abra prismatica",NULL
"Abra tenuis",NULL
"Acanthocardia tuberculata",NULL
"Acteon tornatilis",NULL
"Alentia gelatinosa",NULL
"Ampelisca gibba",NULL
"Ampelisca macrocephala",NULL
"Ampelisca typica",NULL
"Ampharete acutifrons",NULL
"Amphicteis gunneri",NULL
"Amphilochus manudens",NULL
"Amphiura (Acrocnida) brachiata",NULL
"Amphiura (Ophiopeltis) securigera",NULL
"Anomia ephippium",NULL
"Anoplodactylus petiolatus",NULL
"Antalis entalis",NULL
"Aonides paucibranchiata",NULL
"Argissa hamatipes",NULL
"Astacilla longicornis",NULL
"Atelecyclus rotundatus",NULL
"Atylus falcatus",NULL
"Atylus swammerdami",NULL
"Atylus vedlomensis",NULL
"Azorinus chamasolen",NULL
"Bathyarca pectunculoides",NULL
"Bathyporeia guilliamsoniana",NULL
"Bathyporeia pilosa",NULL
"Bathyporeia sarsi",NULL
"Bathyporeia tenuipes",NULL
"Bodotria arenosa",NULL
"Bodotria scorpioides",NULL
"Bowerbankia spp.",NULL
"Branchiostoma lanceolatum",NULL
"Brania spp.",NULL
"Callianassa tyrrhena",NULL
"Calocaris macandreae",NULL
"Caprella linearis",NULL
"Capulus ungaricus",NULL
"Cellaria fistulosa",NULL
"Ceratocephale loveni",NULL
"Chamelea gallina",NULL
"Cheirocratus intermedius",NULL
"Cheirocratus sundevalli",NULL
"Chlamys distorta",NULL
"Chlamys varia",NULL
"Circomphalus casina",NULL
"Cochlodesma praetenue",NULL
"Corella parallelogramma",NULL
"Corophium spp.",NULL
"Corophium crassicorne",NULL
"Crenella decussata",NULL
"Crisia eburnea",NULL
"Cylichna cylindracea",NULL
"Devonia perrieri",NULL
"Dexamine spinosa",NULL
"Diastylis bradyi",NULL
"Diastylis laevis",NULL
"Diastylis lucifera",NULL
"Diastylis rathkei",NULL
"Diastylis rugosa",NULL
"Diplocirrus glaucus",NULL
"Dodecaceria concharum",NULL
"Donax vittatus",NULL
"Dosinia exoleta",NULL
"Dosinia lupinus",NULL
"Drilonereis filum",NULL
"Dulichia spp.",NULL
"Dyopedos monacantha",NULL
"Dyopedos porrectus",NULL
"Echinocardium flavescens",NULL
"Echinus elegans",NULL
"Echiurus echiurus",NULL
"Ensis spp.",NULL
"Ericthonius difformis",NULL
"Escharella immersa",NULL
"Eteone flava",NULL
"Eteone foliosa",NULL
"Eteone longa",NULL
"Eualus pusiolus",NULL
"Euclymene lumbricoides",NULL
"Euclymene robusta",NULL
"Eudorella emarginata",NULL
"Eudorella truncatula",NULL
"Eulalia bilineata",NULL
"Eulalia mustela",NULL
"Eulalia viridis",NULL
"Eulima bilineata",NULL
"Eumida sanguinea",NULL
"Eunereis longissima",NULL
"Eunoe nodosa",NULL
"Eupolymnia nebulosa",NULL
"Eurynome aspera",NULL
"Eusirus longipes",NULL
"Eusyllis blomstrandi",NULL
"Exogone hebes",NULL
"Exogone naidina",NULL
"Exogone verugera",NULL
"Facelina bostoniensis",NULL
"Galathea intermedia",NULL
"Gammaropsis maculata",NULL
"Gammaropsis nitida",NULL
"Gammaropsis palmata",NULL
"Gari spp.",NULL
"Gari fervensis",NULL
"Gastrosaccus spinifer",NULL
"Gattyana cirrhosa",NULL
"Gitana sarsi",NULL
"Glycera alba",NULL
"Glycera lapidum",NULL
"Glycera rouxi",NULL
"Glycera tridactyla",NULL
"Glycinde nordmanni",NULL
"Glycymeris glycymeris",NULL
"Gnathia oxyuraea",NULL
"Goniada maculata",NULL
"Goodallia triangularis",NULL
"Gouldia minima",NULL
"Guernea coalita",NULL
"Hanleya hanleyi",NULL
"Haploops tubicola",NULL
"Harmothoe impar",NULL
"Harpinia antennaria",NULL
"Harpinia crenulata",NULL
"Harpinia pectinata",NULL
"Haustorius arenarius",NULL
"Hesionura elongata",NULL
"Hiatella arctica",NULL
"Hippomedon denticulatus",NULL
"Hyas coarctatus",NULL
"Ione thoracica",NULL
"Iphimedia obesa",NULL
"Iphinoe serrata",NULL
"Ischyrocerus anguipes",NULL
"Janira maculosa",NULL
"Kefersteinia cirrata",NULL
"Kellia suborbicularis",NULL
"Laevicardium crassum",NULL
"Laonice cirrata",NULL
"Lepidonotus squamatus",NULL
"Leptocheirus hirsutimanus",NULL
"Leptochiton asellus",NULL
"Lepton squamosum",NULL
"Leucothoe incisa",NULL
"Leucothoe lilljeborgi",NULL
"Leucothoe spinicarpa",NULL
"Limatula subauriculata",NULL
"Liocarcinus marmoreus",NULL
"Liocarcinus pusillus",NULL
"Lucinoma borealis",NULL
"Lumbrineris hibernica",NULL
"Lumbrineris latreilli",NULL
"Mactra stultorum",NULL
"Maera othonis",NULL
"Magelona spp.","Burrow dwelling"
"Scolelepsis fuliginosa",NULL
"Maldane sarsi",NULL
"Malmgreniella castanea",NULL
"Margarites helicinus",NULL
"Marphysa bellii",NULL
"Marphysa sanguinea",NULL
"Megamphopus cornutus",NULL
"Melanella alba",NULL
"Melinna cristata",NULL
"Melphidippella macra",NULL
"Metaphoxus fultoni",NULL
"Metopa pusilla",NULL
"Microprotopus maculatus",NULL
"Modiolus barbatus",NULL
"Molgula spp.",NULL
"Montacuta ferruginosa",NULL
"Montacuta substriata",NULL
"Musculus niger",NULL
"Mya truncata",NULL
"Myriochele spp.",NULL
"Myrtea spinifera",NULL
"Mysia undata",NULL
"Nephtys caeca",NULL
"Nephtys incisa",NULL
"Nephtys longosetosa",NULL
"Nereimyra punctata",NULL
"Nereiphylla spp.",NULL
"Nereis spp.",NULL
"Nereis zonata",NULL
"Nicomache lumbricalis",NULL
"Notomastus latericeus",NULL
"Notophyllum foliosum",NULL
"Nucula spp.",NULL
"Nuculana minuta",NULL
"Ennucula tenuis",NULL
"Odontosyllis gibba",NULL
"Oenopota turricula",NULL
"Onchidoris bilamellata",NULL
"Onchidoris muricata",NULL
"Ophelia borealis",NULL
"Ophelina acuminata",NULL
"Ophiactis balli",NULL
"Ophiodromus flexuosus",NULL
"Ophryotrocha spp.",NULL
"Orbinia latreillii",NULL
"Orbinia sertulata",NULL
"Orchomene spp.",NULL
"Palliolum striatum",NULL
"Panomya arctica",NULL
"Paphia rhomboides",NULL
"Parametopa spp.",NULL
"Paramphilochoides odontonyx",NULL
"Paranaitis kosteriensis",NULL
"Parapleustes bicuspis",NULL
"Parvicardium exiguum",NULL
"Parvicardium minimum",NULL
"Parvicardium ovale",NULL
"Parvicardium scabrum",NULL
"Pasiphaea sivado",NULL
"Pectinaria (Amphictene) auricoma",NULL
"Pectinaria belgica",NULL
"Pectinaria koreni",NULL
"Pelonaia corrugata",NULL
"Peltocoxa damnoniensis",NULL
"Perioculodes longimanus",NULL
"Pherusa plumosa",NULL
"Philine catena",NULL
"Philine scabra",NULL
"Phoronis hippocrepia",NULL
"Phoronis muelleri",NULL
"Photis longicaudata",NULL
"Photis reinhardi",NULL
"Phoxocephalus holbolli",NULL
"Phtisica marina",NULL
"Phyllodoce (Anaitides) groenlandica",NULL
"Phyllodoce (Anaitides) maculata",NULL
"Phyllodoce laminosa",NULL
"Pinnotheres pisum",NULL
"Pisione remota",NULL
"Pista cristata",NULL
"Pleurobranchus membranaceus",NULL
"Pleurocrypta longibranchiata",NULL
"Poecilochaetus serpens",NULL
"Polycarpa fibrosa",NULL
"Polydora cornuta",NULL
"Pontocrates spp.",NULL
"Pontocrates altamarinus",NULL
"Priapulus caudatus",NULL
"Prionospio cirrifera",NULL
"Prionospio malmgreni",NULL
"Processa nouveli holthuisi",NULL
"Processa parva",NULL
"Protodorvillea kefersteini",NULL
"Protula tubularia",NULL
"Pseudocuma (Pseudocuma) longicorne",NULL
"Pseudomystides limbata",NULL
"Pulsellum spp.",NULL
"Puncturella noachina",NULL
"Pycnogonum littorale",NULL
"Rhodine loveni",NULL
"Saxicavella jeffreysi",NULL
"Scalibregma inflatum",NULL
"Scaphander spp.",NULL
"Scolelepis bonnieri",NULL
"Scolelepis foliosa",NULL
"Scolelepis squamata",NULL
"Siboglinum spp.",NULL
"Sigalion mathildae",NULL
"Solen marginatus",NULL
"Sphaerodoridium claparedeii",NULL
"Sphaerosyllis bulbosa",NULL
"Sphaerosyllis hystrix",NULL
"Sphenia binghami",NULL
"Spiochaetopterus typicus",NULL
"Spisula elliptica",NULL
"Spisula subtruncata",NULL
"Stenothoe marina",NULL
"Stenothoe monoculoides",NULL
"Stenula rubrovittata",NULL
"Sthenelais limicola",NULL
"Stichastrella rosea",NULL
"Styela coriacea",NULL
"Synchelidium haplocheles",NULL
"Tellina (Moerella) pygmaeus",NULL
"Tellina tenuis",NULL
"Terebellides stroemii",NULL
"Tharyx spp.",NULL
"Thelepus spp.",NULL
"Thracia villosiuscula",NULL
"Thyasira spp.",NULL
"Timoclea ovata",NULL
"Travisia forbesii",NULL
"Trichobranchus glacialis",NULL
"Trichotropis borealis",NULL
"Tritonia hombergi",NULL
"Trophonopsis muricatus",NULL
"Trypanosyllis coeliaca",NULL
"Turbonilla (Pyrgiscus) crenata",NULL
"Unciola crenatipalma",NULL
"Upogebia deltaura",NULL
"Upogebia stellata",NULL
"Urothoe brevicornis",NULL
"Urothoe elegans",NULL
"Urothoe marina",NULL
"Urothoe poseidonis",NULL
"Vaunthompsonia cristata",NULL
"Velutina velutina",NULL
"Vitreolina philippi",NULL
"Westwoodilla caecula",NULL
"Gammarus chevreuxi","Not researched"
"Hippocampus guttulatus","Not researched"
"Echinogammarus planicrurus","Not researched"
"Sargassum (Bactrophycus) muticum","Not researched"
"Littorina saxatilis","Not researched"
"Inachus phalangium",NULL
"Leptosynapta spp.",NULL
"Pisidia spp.",NULL
"Spio martinensis",Tubiculous
"Malacoceros fuliginosus",NULL
"Pygospio elegans",NULL
"Polydora spp.",Tubiculous
"Galathea spp.",NULL
"Balanus spp.",Attached
"Macropodia spp.","Free living"
"Diplosoma listerianum",Attached
