SpeciesName,substratum
"Mysella bidentata","See additional information"
"Ensis ensis","Fine clean sand"
"Ensis ensis","Coarse clean sand"
"Electra pilosa",Bedrock
"Electra pilosa","Large to very large boulders"
"Electra pilosa","Small boulders"
"Electra pilosa",Cobbles
"Electra pilosa",Algae
"Electra pilosa","Other species (see additional information)"
"Electra pilosa","Artificial (e.g. metal/wood/concrete)"
"Electra pilosa",Seagrass
"Electra pilosa","Under boulders"
"Electra pilosa",Caves
"Electra pilosa",Overhangs
"Asterina gibbosa",Rockpools
"Eunicella verrucosa","Artificial (e.g. metal/wood/concrete)"
"Eunicella verrucosa",Bedrock
"Tellina fabula","Fine clean sand"
"Tellina fabula","Muddy sand"
"Abra alba","Muddy gravel"
"Abra alba","Sandy mud"
"Abra alba",Mud
"Abra alba","Muddy sand"
"Arctica islandica","Fine clean sand"
"Arenicola marina","Salt marsh"
"Arenicola marina",Seagrass
"Alcyonium digitatum","Large to very large boulders"
"Alcyonium digitatum","Small boulders"
"Alcyonium digitatum",Bedrock
"Alcyonium digitatum","Artificial (e.g. metal/wood/concrete)"
"Alcyonium digitatum",Caves
"Alcyonium digitatum",Overhangs
"Alcyonium digitatum",Cobbles
"Amphianthus dohrnii","Other species (see additional information)"
"Amphiura chiajei",Mud
"Amphiura chiajei","Muddy sand"
"Amphiura filiformis","Muddy sand"
"Amphiura filiformis","Sandy mud"
"Antedon bifida",Algae
"Antedon bifida",Bedrock
"Antedon bifida","Large to very large boulders"
"Aphelochaeta marioni","Fine clean sand"
"Aphelochaeta marioni",Mud
"Aphelochaeta marioni","Muddy sand"
"Aphelochaeta marioni","Sandy mud"
"Aphrodita aculeata","Fine clean sand"
"Aphrodita aculeata","Coarse clean sand"
"Aphrodita aculeata",Mixed
"Aphrodita aculeata",Mud
"Aphrodita aculeata","Muddy sand"
"Aphrodita aculeata","Muddy gravel"
"Arenicola marina",Mixed
"Arenicola marina","Muddy gravel"
"Arenicola marina","Muddy sand"
"Arenicola marina","Sandy mud"
"Arenicola marina","Fine clean sand"
"Armandia cirrhosa","Muddy gravel"
"Ascidiella scabra","Artificial (e.g. metal/wood/concrete)"
"Ascidiella scabra",Bedrock
"Ascidiella scabra","Large to very large boulders"
"Ascidiella scabra","Small boulders"
"Ascidiella scabra",Cobbles
"Ascidiella scabra",Algae
"Ascidiella scabra","Under boulders"
"Flustra foliacea",Bedrock
"Flustra foliacea","Large to very large boulders"
"Flustra foliacea",Mixed
"Flustra foliacea","Small boulders"
"Flustra foliacea",Cobbles
"Bathyporeia pelagica","Water column (pelagic)"
"Asterias rubens","Gravel / shingle"
"Asterias rubens","Coarse clean sand"
"Atrina fragilis","Gravel / shingle"
"Atrina fragilis",Mixed
"Atrina fragilis","Muddy gravel"
"Atrina fragilis","Muddy sand"
"Atrina fragilis",Mud
"Atrina fragilis","Fine clean sand"
"Atrina fragilis","Sandy mud"
"Balanus crenatus",Bedrock
"Balanus crenatus","Artificial (e.g. metal/wood/concrete)"
"Balanus crenatus",Cobbles
"Balanus crenatus","Gravel / shingle"
"Balanus crenatus","Large to very large boulders"
"Balanus crenatus",Pebbles
"Balanus crenatus","Small boulders"
"Bathyporeia pelagica","Fine clean sand"
"Botryllus schlosseri",Bedrock
"Botryllus schlosseri",Cobbles
"Botryllus schlosseri","Large to very large boulders"
"Brissopsis lyrifera",Mud
"Brissopsis lyrifera","Muddy sand"
"Bugula turbinata","Artificial (e.g. metal/wood/concrete)"
"Bugula turbinata",Bedrock
"Bugula turbinata","Large to very large boulders"
"Bugula turbinata","Small boulders"
"Bugula turbinata",Overhangs
"Bugula turbinata",Cobbles
"Bugula turbinata","Crevices / fissures"
"Callianassa subterranea","Muddy sand"
"Cancer pagurus",Cobbles
"Cancer pagurus","Gravel / shingle"
"Cancer pagurus",Pebbles
"Cancer pagurus","Sandy mud"
"Cancer pagurus","Muddy sand"
"Cancer pagurus","Fine clean sand"
"Cancer pagurus","Coarse clean sand"
"Cancer pagurus",Bedrock
"Capitella capitata","Fine clean sand"
"Capitella capitata","Muddy sand"
"Capitella capitata",Mud
"Capitella capitata","Sandy mud"
"Cerastoderma edule","Sandy mud"
"Cerastoderma edule","Muddy sand"
"Cerastoderma edule","Coarse clean sand"
"Cerastoderma edule","Fine clean sand"
"Cerastoderma edule",Seagrass
"Ciona intestinalis","Other species (see additional information)"
"Cerastoderma edule","Muddy gravel"
"Chthamalus montagui","Artificial (e.g. metal/wood/concrete)"
"Chthamalus montagui","Large to very large boulders"
"Chthamalus montagui",Bedrock
"Ciona intestinalis",Algae
"Ciona intestinalis","Artificial (e.g. metal/wood/concrete)"
"Ciona intestinalis",Bedrock
"Ciona intestinalis","Large to very large boulders"
"Ciona intestinalis","Small boulders"
"Cirratulus cirratus","Under boulders"
"Cirratulus cirratus","Muddy gravel"
"Cirratulus cirratus",Mud
"Clavelina lepadiformis","Artificial (e.g. metal/wood/concrete)"
"Clavelina lepadiformis",Bedrock
"Clavelina lepadiformis",Cobbles
"Clavelina lepadiformis","Large to very large boulders"
"Clavelina lepadiformis",Overhangs
"Clavelina lepadiformis","Small boulders"
"Hyale prevostii","Other species (see additional information)"
"Crepidula fornicata","Small boulders"
"Crepidula fornicata",Cobbles
"Crepidula fornicata",Pebbles
"Crepidula fornicata","Muddy gravel"
"Crepidula fornicata","Gravel / shingle"
"Crepidula fornicata","Fine clean sand"
"Crepidula fornicata","Coarse clean sand"
"Crepidula fornicata","Muddy sand"
"Crepidula fornicata","Sandy mud"
"Crepidula fornicata","Other species (see additional information)"
"Echinocardium cordatum","Coarse clean sand"
"Echinocardium cordatum","Fine clean sand"
"Echinocardium cordatum","Muddy sand"
"Echinocardium cordatum","Sandy mud"
"Echinus esculentus",Bedrock
"Echinus esculentus","Large to very large boulders"
"Echinus esculentus","Small boulders"
"Echinus esculentus","Artificial (e.g. metal/wood/concrete)"
"Echinus esculentus",Rockpools
"Echinus esculentus","Under boulders"
"Echinus esculentus",Caves
"Echinus esculentus","Crevices / fissures"
"Echinus esculentus",Overhangs
"Funiculina quadrangularis",Mud
"Gammarus insensibilis",Mud
"Gammarus insensibilis","Muddy sand"
"Gammarus insensibilis","Sandy mud"
"Gammarus salinus",Algae
"Gammarus salinus","Gravel / shingle"
"Gammarus salinus","Coarse clean sand"
"Halichondria bowerbanki",Overhangs
"Halichondria panicea",Bedrock
"Halichondria panicea",Cobbles
"Halichondria panicea","Large to very large boulders"
"Hediste diversicolor","Sandy mud"
"Hediste diversicolor","Muddy sand"
"Hediste diversicolor",Mud
"Helcion pellucidum",Algae
"Henricia oculata",Bedrock
"Henricia oculata","Large to very large boulders"
"Henricia oculata","Small boulders"
"Henricia oculata",Cobbles
"Henricia oculata","Gravel / shingle"
"Henricia oculata",Pebbles
"Hyale prevostii",Algae
"Hydrobia ulvae","Sandy mud"
"Jassa falcata","Other species (see additional information)"
"Lanice conchilega","Coarse clean sand"
"Chaetopterus variopedatus","Crevices / fissures"
"Lanice conchilega","Sandy mud"
"Leptopsammia pruvoti","Small boulders"
"Hydrobia ulvae","Muddy sand"
"Hydrobia ulvae",Mud
"Jassa falcata",Algae
"Jassa falcata","Artificial (e.g. metal/wood/concrete)"
"Jassa falcata",Bedrock
"Lacuna vincta",Algae
"Liocarcinus depurator","Muddy gravel"
"Liocarcinus depurator","Muddy sand"
"Liocarcinus depurator","Fine clean sand"
"Liocarcinus depurator","Coarse clean sand"
"Lithothamnion corallioides",Pebbles
"Lithothamnion corallioides","Gravel / shingle"
"Lithothamnion corallioides",Maerl
"Lithothamnion corallioides","Muddy gravel"
"Lithothamnion corallioides","Coarse clean sand"
"Lithothamnion corallioides","Fine clean sand"
"Lithothamnion corallioides","Sandy mud"
"Lithothamnion glaciale",Bedrock
"Lithothamnion glaciale","Large to very large boulders"
"Lithothamnion glaciale","Small boulders"
"Lithothamnion glaciale",Cobbles
"Lithothamnion glaciale",Pebbles
"Lithothamnion glaciale","Gravel / shingle"
"Lithothamnion glaciale",Maerl
"Littorina littorea",Bedrock
"Littorina littorea","Large to very large boulders"
"Littorina littorea","Small boulders"
"Littorina littorea",Cobbles
"Littorina littorea",Pebbles
"Littorina littorea","Gravel / shingle"
"Littorina littorea","Muddy gravel"
"Littorina littorea","Sandy mud"
"Littorina littorea","Muddy sand"
"Littorina littorea",Mud
"Macoma balthica",Mud
"Macoma balthica","Muddy sand"
"Macoma balthica","Sandy mud"
"Magelona mirabilis","Fine clean sand"
"Magelona mirabilis","Coarse clean sand"
"Metridium senile",Bedrock
"Metridium senile","Large to very large boulders"
"Metridium senile","Biogenic reef"
"Metridium senile","Artificial (e.g. metal/wood/concrete)"
"Metridium senile",Caves
"Molgula manhattensis",Seagrass
"Neocrania anomala","Other species (see additional information)"
"Modiolus modiolus",Bedrock
"Modiolus modiolus","Large to very large boulders"
"Modiolus modiolus","Small boulders"
"Modiolus modiolus","Gravel / shingle"
"Modiolus modiolus","Muddy gravel"
"Modiolus modiolus","Coarse clean sand"
"Modiolus modiolus","Fine clean sand"
"Modiolus modiolus","Sandy mud"
"Modiolus modiolus","Muddy sand"
"Modiolus modiolus",Mud
"Modiolus modiolus",Mixed
"Modiolus modiolus","Biogenic reef"
"Modiolus modiolus","Artificial (e.g. metal/wood/concrete)"
"Modiolus modiolus",Rockpools
"Molgula manhattensis",Bedrock
"Molgula manhattensis","Large to very large boulders"
"Molgula manhattensis","Small boulders"
"Morchellium argus",Bedrock
"Morchellium argus","Large to very large boulders"
"Morchellium argus","Small boulders"
"Mya arenaria","Muddy gravel"
"Mya arenaria","Coarse clean sand"
"Mya arenaria","Fine clean sand"
"Mya arenaria","Muddy sand"
"Mya arenaria",Mud
"Mya arenaria",Mixed
"Mya arenaria","Sandy mud"
"Mytilus edulis",Bedrock
"Mytilus edulis","Large to very large boulders"
"Nematostella vectensis",Mud
"Nematostella vectensis",Algae
"Nemertesia ramosa",Bedrock
"Nemertesia ramosa","Large to very large boulders"
"Nemertesia ramosa","Small boulders"
"Nemertesia ramosa",Cobbles
"Nemertesia ramosa",Pebbles
"Nemertesia ramosa","Gravel / shingle"
"Nemertesia ramosa",Maerl
"Neocrania anomala",Bedrock
"Neocrania anomala","Large to very large boulders"
"Neocrania anomala","Small boulders"
"Neomysis integer","Coarse clean sand"
"Neomysis integer","Gravel / shingle"
"Neomysis integer","Water column (pelagic)"
"Neopentadactyla mixta","Gravel / shingle"
"Neopentadactyla mixta",Maerl
"Nucula nitidosa","Fine clean sand"
"Nucula nitidosa","Muddy sand"
"Nucella lapillus",Bedrock
"Nucella lapillus","Large to very large boulders"
"Nucella lapillus","Small boulders"
"Nucella lapillus","Artificial (e.g. metal/wood/concrete)"
"Nucella lapillus",Rockpools
"Nucella lapillus","Under boulders"
"Nucella lapillus",Caves
"Nucella lapillus","Crevices / fissures"
"Obelia longissima","Large to very large boulders"
"Obelia longissima","Other species (see additional information)"
"Obelia longissima",Bedrock
"Obelia longissima","Small boulders"
"Obelia longissima",Cobbles
"Obelia longissima",Pebbles
"Obelia longissima","Coarse clean sand"
"Obelia longissima",Algae
"Obelia longissima","Biogenic reef"
"Obelia longissima","Artificial (e.g. metal/wood/concrete)"
"Obelia longissima",Rockpools
"Ophiothrix fragilis",Bedrock
"Ophiothrix fragilis","Large to very large boulders"
"Ophiothrix fragilis","Small boulders"
"Ophiothrix fragilis",Cobbles
"Ophiothrix fragilis",Pebbles
"Ophiothrix fragilis","Gravel / shingle"
"Ophiothrix fragilis",Maerl
"Ophiothrix fragilis","Muddy gravel"
"Ophiothrix fragilis","Under boulders"
"Ophiothrix fragilis","Crevices / fissures"
"Ophiothrix fragilis","Other species (see additional information)"
"Osilinus lineatus",Bedrock
"Osilinus lineatus","Large to very large boulders"
"Osilinus lineatus",Rockpools
"Osilinus lineatus","Under boulders"
"Ostrea edulis","Large to very large boulders"
"Ostrea edulis","Small boulders"
"Ostrea edulis",Cobbles
"Ostrea edulis",Pebbles
"Ostrea edulis","Gravel / shingle"
"Ostrea edulis","Artificial (e.g. metal/wood/concrete)"
"Ostrea edulis","Muddy gravel"
"Ostrea edulis","Muddy sand"
"Owenia fusiformis","Fine clean sand"
"Owenia fusiformis","Muddy sand"
"Owenia fusiformis","Sandy mud"
"Palinurus elephas",Bedrock
"Palinurus elephas","Large to very large boulders"
"Palinurus elephas","Small boulders"
"Paludinella litorina",Bedrock
"Paludinella litorina",Caves
"Paludinella litorina","Under boulders"
"Paludinella litorina","Crevices / fissures"
"Paludinella litorina","Gravel / shingle"
"Patella ulyssiponensis",Bedrock
"Pecten maximus","Coarse clean sand"
"Polydora ciliata","Other species (see additional information)"
"Psammechinus miliaris","Large to very large boulders"
"Psammechinus miliaris",Cobbles
"Psammechinus miliaris","Muddy gravel"
"Psammechinus miliaris",Mixed
"Psammechinus miliaris","Artificial (e.g. metal/wood/concrete)"
"Psammechinus miliaris","Under boulders"
"Serpula vermicularis","Other species (see additional information)"
"Pecten maximus","Muddy sand"
"Pecten maximus","Sandy mud"
"Pecten maximus","Gravel / shingle"
"Pentapora fascialis",Bedrock
"Pentapora fascialis","Artificial (e.g. metal/wood/concrete)"
"Pentapora fascialis","Large to very large boulders"
"Philine aperta","Muddy sand"
"Philine aperta","Fine clean sand"
"Philine aperta","Sandy mud"
"Pholas dactylus",Bedrock
"Polydora ciliata",Algae
"Polydora ciliata","Artificial (e.g. metal/wood/concrete)"
"Polydora ciliata",Mud
"Pomatoceros triqueter",Bedrock
"Pomatoceros triqueter","Large to very large boulders"
"Pomatoceros triqueter","Small boulders"
"Tenellia adspersa",Seagrass
"Tenellia adspersa","Artificial (e.g. metal/wood/concrete)"
"Urticina felina","Other species (see additional information)"
"Crangon crangon","Fine clean sand"
"Crangon crangon",Mud
"Crangon crangon","Muddy sand"
"Crangon crangon","Sandy mud"
"Spio filicornis","Coarse clean sand"
"Spio filicornis","Fine clean sand"
"Spio filicornis",Mud
"Spio filicornis","Muddy sand"
"Spiophanes bombyx","Fine clean sand"
"Spiophanes bombyx","Sandy mud"
"Spisula solida",Mixed
"Spisula solida",Pebbles
"Spisula solida","Gravel / shingle"
"Spisula solida","Fine clean sand"
"Talitrus saltator",Strandline
"Tenellia adspersa",Algae
"Tenellia adspersa","Small boulders"
"Tenellia adspersa",Pebbles
"Tenellia adspersa",Cobbles
"Thyasira gouldi","Muddy sand"
"Thyasira gouldi",Mud
"Thyasira gouldi","Sandy mud"
"Truncatella subcylindrica","Gravel / shingle"
"Umbonula littoralis",Bedrock
"Umbonula littoralis","Large to very large boulders"
"Umbonula littoralis","Small boulders"
"Umbonula littoralis",Cobbles
"Urticina felina",Bedrock
"Urticina felina","Large to very large boulders"
"Urticina felina","Small boulders"
"Urticina felina","Crevices / fissures"
"Venerupis senegalensis","Gravel / shingle"
"Venerupis senegalensis",Mixed
"Venerupis senegalensis","Muddy gravel"
"Venerupis senegalensis","Muddy sand"
"Venerupis senegalensis","Fine clean sand"
"Virgularia mirabilis","Coarse clean sand"
"Virgularia mirabilis","Fine clean sand"
"Virgularia mirabilis",Mud
"Virgularia mirabilis","Muddy sand"
"Virgularia mirabilis","Sandy mud"
"Mytilus edulis","Sandy mud"
"Mytilus edulis","Muddy gravel"
"Chaetopterus variopedatus","Muddy gravel"
"Ahnfeltia plicata",Bedrock
"Ahnfeltia plicata",Cobbles
"Ahnfeltia plicata",Pebbles
"Ahnfeltia plicata","Coarse clean sand"
"Alaria esculenta",Bedrock
"Alaria esculenta","Large to very large boulders"
"Alaria esculenta","Small boulders"
"Alaria esculenta",Cobbles
"Alaria esculenta",Pebbles
"Alaria esculenta","Artificial (e.g. metal/wood/concrete)"
"Callianassa subterranea","Sandy mud"
"Alkmaria romijni",Mud
"Alkmaria romijni","Muddy sand"
"Alkmaria romijni","Muddy gravel"
"Arctica islandica","Coarse clean sand"
"Arctica islandica","Sandy mud"
"Arctica islandica","Muddy sand"
"Ascophyllum nodosum","Small boulders"
"Ascophyllum nodosum",Cobbles
"Ascophyllum nodosum",Bedrock
"Ascophyllum nodosum","Large to very large boulders"
"Axinella dissimilis",Bedrock
"Axinella dissimilis","Large to very large boulders"
"Asterina phylactica","Coarse clean sand"
"Asterina phylactica","Fine clean sand"
"Asterina phylactica","Sandy mud"
"Asterina phylactica","Muddy sand"
"Asterina phylactica",Mud
"Bugula turbinata",Caves
"Caecum armoricum","Gravel / shingle"
"Cancer pagurus","Muddy gravel"
"Carcinus maenas","No preference"
"Ceramium virgatum",Cobbles
"Ceramium virgatum",Pebbles
"Ceramium virgatum","Gravel / shingle"
"Ceramium virgatum",Algae
"Ceramium virgatum","Artificial (e.g. metal/wood/concrete)"
"Ceramium virgatum",Rockpools
"Cerastoderma glaucum","Coarse clean sand"
"Cerastoderma glaucum","Fine clean sand"
"Cerastoderma glaucum","Sandy mud"
"Cerastoderma glaucum","Muddy sand"
"Cerastoderma glaucum",Mud
"Chondrus crispus",Bedrock
"Chondrus crispus","Large to very large boulders"
"Chondrus crispus","Small boulders"
"Chondrus crispus",Rockpools
"Chorda filum","Muddy gravel"
"Chorda filum",Pebbles
"Chorda filum","Gravel / shingle"
"Chorda filum",Mixed
"Chorda filum",Algae
"Chthamalus stellatus",Bedrock
"Chthamalus stellatus","Large to very large boulders"
"Chthamalus stellatus","Artificial (e.g. metal/wood/concrete)"
"Cladophora rupestris",Bedrock
"Cladophora rupestris","Small boulders"
"Cladophora rupestris",Cobbles
"Cladophora rupestris",Algae
"Clavelina lepadiformis",Pebbles
"Corallina officinalis","Artificial (e.g. metal/wood/concrete)"
"Corallina officinalis",Bedrock
"Corallina officinalis","Large to very large boulders"
"Botryllus schlosseri","Small boulders"
"Delesseria sanguinea",Bedrock
"Delesseria sanguinea","Large to very large boulders"
"Delesseria sanguinea","Small boulders"
"Delesseria sanguinea",Rockpools
"Dipturus batis","Muddy gravel"
"Dipturus batis","Coarse clean sand"
"Dipturus batis","Fine clean sand"
"Dipturus batis","Sandy mud"
"Dipturus batis","Muddy sand"
"Dipturus batis",Mud
"Dipturus batis",Mixed
"Edwardsia ivelli",Mud
"Eurydice pulchra","Coarse clean sand"
"Eurydice pulchra","Fine clean sand"
"Fucus ceranoides",Bedrock
"Fucus ceranoides","Large to very large boulders"
"Fucus ceranoides","Small boulders"
"Fucus ceranoides",Cobbles
"Fucus ceranoides",Pebbles
"Fucus ceranoides","Gravel / shingle"
"Fucus distichus",Bedrock
"Fucus distichus","Large to very large boulders"
"Ampelisca spinipes","Insufficient information"
"Fucus serratus",Bedrock
